Symbol                    BaseName   Name       Type     Volume
WOW/USDC                  WOW        @109       spot     0.16
WOULD/USDC                WOULD      @198       spot     0.05
VAULT/USDC                VAULT      @125       spot     0.05
MUNCH/USDC                MUNCH      @116       spot     0.00
BUBZ/USDC                 BUBZ       @119       spot     0.00
MANLET/USDC               MANLET     @3         spot     0.00
SIX/USDC                  SIX        @5         spot     0.00
WAGMI/USDC                WAGMI      @6         spot     0.00
CAPPY/USDC                CAPPY      @7         spot     0.00
GMEOW/USDC                GMEOW      @10        spot     0.00
ILIENS/USDC               ILIENS     @14        spot     0.00
FUCKY/USDC                FUCKY      @15        spot     0.00
BAGS/USDC                 BAGS       @17        spot     0.00
ANSEM/USDC                ANSEM      @18        spot     0.00
TATE/USDC                 TATE       @19        spot     0.00
KOBE/USDC                 KOBE       @21        spot     0.00
BIGBEN/USDC               BIGBEN     @25        spot     0.00
CATNIP/USDC               CATNIP     @26        spot     0.00
GPT/USDC                  GPT        @31        spot     0.00
ASI/USDC                  ASI        @36        spot     0.00
PANDA/USDC                PANDA      @38        spot     0.00
PILL/USDC                 PILL       @39        spot     0.00
FUN/USDC                  FUN        @41        spot     0.00
HPEPE/USDC                HPEPE      @44        spot     0.00
JEET/USDC                 JEET       @45        spot     0.00
DROP/USDC                 DROP       @46        spot     0.00
MBAPPE/USDC               MBAPPE     @47        spot     0.00
TEST/USDC                 TEST       @48        spot     0.00
FRAC/USDC                 FRAC       @50        spot     0.00
COZY/USDC                 COZY       @52        spot     0.00
ARI/USDC                  ARI        @53        spot     0.00
WASH/USDC                 WASH       @54        spot     0.00
ANT/USDC                  ANT        @55        spot     0.00
NFT/USDC                  NFT        @56        spot     0.00
RICH/USDC                 RICH       @57        spot     0.00
TJIF/USDC                 TJIF       @60        spot     0.00
GUESS/USDC                GUESS      @61        spot     0.00
MAXI/USDC                 MAXI       @62        spot     0.00
RISE/USDC                 RISE       @66        spot     0.00
CINDY/USDC                CINDY      @67        spot     0.00
STACK/USDC                STACK      @69        spot     0.00
RIP/USDC                  RIP        @75        spot     0.00
G/USDC                    G          @76        spot     0.00
SHOE/USDC                 SHOE       @79        spot     0.00
BUSSY/USDC                BUSSY      @82        spot     0.00
FATCAT/USDC               FATCAT     @83        spot     0.00
FEIT/USDC                 FEIT       @90        spot     0.00
FRUDO/USDC                FRUDO      @91        spot     0.00
VIZN/USDC                 VIZN       @92        spot     0.00
STRICT/USDC               STRICT     @93        spot     0.00
MAGA/USDC                 MAGA       @95        spot     0.00
LIQUID/USDC               LIQUID     @97        spot     0.00
EARTH/USDC                EARTH      @99        spot     0.00
HOP/USDC                  HOP        @102       spot     0.00
LUCKY/USDC                LUCKY      @103       spot     0.00
COPE/USDC                 COPE       @104       spot     0.00
YAP/USDC                  YAP        @106       spot     0.00
STEEL/USDC                STEEL      @110       spot     0.00
NEIRO/USDC                NEIRO      @113       spot     0.00
HOLD/USDC                 HOLD       @115       spot     0.00
BERA/USDC                 BERA       @117       spot     0.00
PICKL/USDC                PICKL      @120       spot     0.00
SHEEP/USDC                SHEEP      @121       spot     0.00
FLASK/USDC                FLASK      @124       spot     0.00
MON/USDC                  MON        @129       spot     0.00
BEATS/USDC                BEATS      @130       spot     0.00
ORA/USDC                  ORA        @131       spot     0.00
STAR/USDC                 STAR       @134       spot     0.00
SENT/USDC                 SENT       @135       spot     0.00
FLY/USDC                  FLY        @137       spot     0.00
SOVRN/USDC                SOVRN      @139       spot     0.00
GOD/USDC                  GOD        @141       spot     0.00
DEFIN/USDC                DEFIN      @146       spot     0.00
WHYPI/USDC                WHYPI      @148       spot     0.00
QUANT/USDC                QUANT      @155       spot     0.00
TILT/USDC                 TILT       @158       spot     0.00
DIABLO/USDC               DIABLO     @164       spot     0.00
PEG/USDC                  PEG        @170       spot     0.00
USH/USDC                  USH        @171       spot     0.00
ANON/USDC                 ANON       @174       spot     0.00
FRCT/USDC                 FRCT       @175       spot     0.00
USPYX/USDC                USPYX      @189       spot     0.00
UBONK/USDC                UBONK      @194       spot     0.00
APU/USDC                  APU        @196       spot     0.00
MATIC/USDC:USDC           MATIC      MATIC      swap     0.00
RNDR/USDC:USDC            RNDR       RNDR       swap     0.00
FTM/USDC:USDC             FTM        FTM        swap     0.00
HPOS/USDC:USDC            HPOS       HPOS       swap     0.00
RLB/USDC:USDC             RLB        RLB        swap     0.00
UNIBOT/USDC:USDC          UNIBOT     UNIBOT     swap     0.00
OX/USDC:USDC              OX         OX         swap     0.00
FRIEND/USDC:USDC          FRIEND     FRIEND     swap     0.00
SHIA/USDC:USDC            SHIA       SHIA       swap     0.00
CYBER/USDC:USDC           CYBER      CYBER      swap     0.00
BLZ/USDC:USDC             BLZ        BLZ        swap     0.00
LOOM/USDC:USDC            LOOM       LOOM       swap     0.00
RDNT/USDC:USDC            RDNT       RDNT       swap     0.00
BNT/USDC:USDC             BNT        BNT        swap     0.00
CANTO/USDC:USDC           CANTO      CANTO      swap     0.00
ORBS/USDC:USDC            ORBS       ORBS       swap     0.00
STRAX/USDC:USDC           STRAX      STRAX      swap     0.00
BADGER/USDC:USDC          BADGER     BADGER     swap     0.00
ILV/USDC:USDC             ILV        ILV        swap     0.00
NFTI/USDC:USDC            NFTI       NFTI       swap     0.00
NTRN/USDC:USDC            NTRN       NTRN       swap     0.00
PANDORA/USDC:USDC         PANDORA    PANDORA    swap     0.00
PIXEL/USDC:USDC           PIXEL      PIXEL      swap     0.00
AI/USDC:USDC              AI         AI         swap     0.00
MYRO/USDC:USDC            MYRO       MYRO       swap     0.00
LISTA/USDC:USDC           LISTA      LISTA      swap     0.00
CATI/USDC:USDC            CATI       CATI       swap     0.00
JELLY/USDC:USDC           JELLY      JELLY      swap     0.00
